category,wayback_timestamp,original_url,wayback_download_url,suggested_filename,notes
community,20150826005507,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-5.thumbnail.jpg,https://web.archive.org/web/20150826005507id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-5.thumbnail.jpg,wc_parade-5.thumbnail.jpg,West Carleton parade
community,20150826010010,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-6.thumbnail.jpg,https://web.archive.org/web/20150826010010id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-6.thumbnail.jpg,wc_parade-6.thumbnail.jpg,West Carleton parade
people,20110201132100,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wm_blog_small.jpg,https://web.archive.org/web/20110201132100id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wm_blog_small.jpg,wm_blog_small.jpg,Legacy Worshipful Master's image
gallery_cover,20251009174231,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=15:2016,https://web.archive.org/web/20251009174231id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=15:2016,gallery-cover-2016.jpg,2016 gallery cover
gallery_cover,20251009174256,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=12:2017,https://web.archive.org/web/20251009174256id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=12:2017,gallery-cover-2017.jpg,2017 gallery cover
gallery_cover,20251009174221,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=1:2018,https://web.archive.org/web/20251009174221id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=1:2018,gallery-cover-2018.jpg,2018 gallery cover
gallery_cover,20251010171916,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=2:2019,https://web.archive.org/web/20251010171916id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=2:2019,gallery-cover-2019.jpg,2019 gallery cover
gallery_cover,20251009174358,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=4:2021,https://web.archive.org/web/20251009174358id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=4:2021,gallery-cover-2021.jpg,2021 gallery cover
gallery_cover,20251010062533,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=5:2022,https://web.archive.org/web/20251010062533id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=5:2022,gallery-cover-2022.jpg,2022 gallery cover
gallery_cover,20251009174327,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=6:2023,https://web.archive.org/web/20251009174327id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=6:2023,gallery-cover-2023.jpg,2023 gallery cover
gallery_cover,20251010055254,https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=8:2025,https://web.archive.org/web/20251010055254id_/https://carletonlodge465.com/index.php/photos/img?js=0&format=raw&w=600&h=400&id=8:2025,gallery-cover-2025.jpg,2025 gallery cover
